count,Date,ExpName,WorkLoad,No Operations,No Records,No_Threads,Runtime(ms),Thr(ops/sec),cleanup_lat(us),readFail_lat(us),Read_ReturnOk,Read_ReturnErr,read_lat(us),update_lat(us)
0,22/05/2019,ycsb-memcached,workloads/workloada,100,400,1,193.0,518.1347150259068,1700.0,NULL,54.0,NULL,1104.5555555555557,1161.0434782608695
1,22/05/2019,ycsb-memcached,workloads/workloada,100,400,1,195.0,512.8205128205128,2011.0,NULL,39.0,NULL,1263.3589743589744,1052.950819672131
2,22/05/2019,ycsb-memcached,workloads/workloada,100,400,1,208.0,480.7692307692308,1887.0,NULL,55.0,NULL,1144.7818181818182,1361.4888888888888
3,22/05/2019,ycsb-memcached,workloads/workloada,100,400,1,188.0,531.9148936170212,1941.0,NULL,52.0,NULL,612.0961538461538,1610.8125
4,22/05/2019,ycsb-memcached,workloads/workloada,100,400,1,193.0,518.1347150259068,1846.0,NULL,46.0,NULL,652.7826086956521,1484.537037037037
5,22/05/2019,ycsb-memcached,workloads/workloada,100,400,1,184.0,543.4782608695652,1837.0,NULL,44.0,NULL,1308.1363636363637,945.4642857142857
6,22/05/2019,ycsb-memcached,workloads/workloada,100,400,1,243.0,411.52263374485597,2025.0,NULL,58.0,NULL,692.6896551724138,2662.904761904762
7,22/05/2019,ycsb-memcached,workloads/workloada,100,400,1,213.0,469.4835680751174,1906.0,NULL,53.0,NULL,1116.5283018867924,1215.7659574468084
8,22/05/2019,ycsb-memcached,workloads/workloada,100,400,1,173.0,578.0346820809249,1669.0,NULL,43.0,NULL,567.8837209302326,1348.017543859649
9,22/05/2019,ycsb-memcached,workloads/workloada,100,400,1,164.0,609.7560975609756,1845.0,NULL,50.0,NULL,545.08,1349.22
