count,Date,ExpName,WorkLoad,No Operations,No Records,No_Threads,Runtime(ms),Thr(ops/sec),cleanup_lat(us),readFail_lat(us),Read_ReturnOk,Read_ReturnErr,read_lat(us),update_lat(us)
0,28/05/2019,ycsb-mongodb,workloads/workloada,500,200,1,700.0,714.2857142857143,2007.0,NULL,250.0,NULL,1098.064,634.156
1,28/05/2019,ycsb-mongodb,workloads/workloada,500,200,1,799.0,625.7822277847309,1657.0,NULL,255.0,NULL,1004.2117647058824,972.4367346938775
2,28/05/2019,ycsb-mongodb,workloads/workloada,500,200,1,474.0,1054.8523206751054,1409.0,NULL,242.0,NULL,777.2066115702479,393.3565891472868
3,28/05/2019,ycsb-mongodb,workloads/workloada,500,200,1,484.0,1033.0578512396694,1546.0,NULL,246.0,NULL,660.7317073170732,540.2992125984252
4,28/05/2019,ycsb-mongodb,workloads/workloada,500,200,1,472.0,1059.322033898305,1534.0,NULL,251.0,NULL,666.589641434263,535.3052208835342
5,28/05/2019,ycsb-mongodb,workloads/workloada,500,200,1,468.0,1068.3760683760684,1666.0,NULL,268.0,NULL,753.4141791044776,408.13793103448273
6,28/05/2019,ycsb-mongodb,workloads/workloada,500,200,1,475.0,1052.6315789473683,1511.0,NULL,259.0,NULL,676.030888030888,532.6348547717843
7,28/05/2019,ycsb-mongodb,workloads/workloada,500,200,1,490.0,1020.4081632653061,1631.0,NULL,267.0,NULL,786.4494382022472,418.47210300429185
8,28/05/2019,ycsb-mongodb,workloads/workloada,500,200,1,499.0,1002.0040080160321,1522.0,NULL,252.0,NULL,675.1428571428571,566.1653225806451
9,28/05/2019,ycsb-mongodb,workloads/workloada,500,200,1,500.0,1000.0,1490.0,NULL,247.0,NULL,823.3441295546559,407.90909090909093
