count,Date,ExpName,WorkLoad,No Operations,No Records,No_Threads,Runtime(ms),Thr(ops/sec),cleanup_lat(us),readFail_lat(us),Read_ReturnOk,Read_ReturnErr,read_lat(us),update_lat(us)
0,20/05/2019,ycsb-redis,workloads/workloada,100,300,2,54.0,1851.851851851852,91.5,NULL,52.0,NULL,481.63461538461536,191.375
1,20/05/2019,ycsb-redis,workloads/workloada,100,300,2,54.0,1851.851851851852,162.0,NULL,56.0,NULL,500.32142857142856,254.0909090909091
2,20/05/2019,ycsb-redis,workloads/workloada,100,300,2,51.0,1960.7843137254902,92.5,NULL,49.0,NULL,336.57142857142856,200.1764705882353
3,20/05/2019,ycsb-redis,workloads/workloada,100,300,2,62.0,1612.9032258064517,293.5,NULL,44.0,NULL,380.0,163.94642857142858
4,20/05/2019,ycsb-redis,workloads/workloada,100,300,2,56.0,1785.7142857142858,69.5,NULL,53.0,NULL,517.2641509433962,252.46808510638297
5,20/05/2019,ycsb-redis,workloads/workloada,100,300,2,58.0,1724.1379310344828,105.5,NULL,49.0,NULL,481.2857142857143,259.5686274509804
6,20/05/2019,ycsb-redis,workloads/workloada,100,300,2,56.0,1785.7142857142858,112.5,NULL,47.0,NULL,486.51063829787233,207.62264150943398
7,20/05/2019,ycsb-redis,workloads/workloada,100,300,2,52.0,1923.076923076923,87.0,NULL,56.0,NULL,472.64285714285717,232.02272727272728
8,20/05/2019,ycsb-redis,workloads/workloada,100,300,2,55.0,1818.1818181818182,64.5,NULL,48.0,NULL,412.9375,206.73076923076923
9,20/05/2019,ycsb-redis,workloads/workloada,100,300,2,51.0,1960.7843137254902,190.0,NULL,47.0,NULL,491.25531914893617,213.24528301886792
10,20/05/2019,ycsb-redis,workloads/workloada,100,300,2,59.0,1694.915254237288,59.0,NULL,54.0,NULL,621.6666666666666,197.04347826086956
11,20/05/2019,ycsb-redis,workloads/workloada,100,300,2,53.0,1886.7924528301887,99.5,NULL,48.0,NULL,542.9791666666666,264.5192307692308
12,20/05/2019,ycsb-redis,workloads/workloada,100,300,2,52.0,1923.076923076923,122.5,NULL,52.0,NULL,629.3076923076923,160.8125
