count,Date,ExpName,WorkLoad,No Operations,No Records,No_Threads,Runtime(ms),Thr(ops/sec),cleanup_lat(us),readFail_lat(us),Read_ReturnOk,Read_ReturnErr,read_lat(us),update_lat(us)
0,27/03/2019,ycsb-redis,workloads/workloada,2030,1530,3,201.0,10099.50248756219,47.333333333333336,NULL,1003.0,NULL,215.1704885343968,138.44011684518014
1,27/03/2019,ycsb-redis,workloads/workloada,2060,1560,3,195.0,10564.102564102564,63.333333333333336,NULL,1035.0,NULL,194.1951690821256,150.81073170731707
2,27/03/2019,ycsb-redis,workloads/workloada,2090,1590,3,188.0,11117.021276595744,56.333333333333336,NULL,1082.0,NULL,183.98428835489833,123.72420634920636
3,27/03/2019,ycsb-redis,workloads/workloada,2120,1620,5,199.0,10653.266331658291,48.2,NULL,1080.0,NULL,347.5851851851852,233.31923076923076
4,27/03/2019,ycsb-redis,workloads/workloada,2150,1650,5,229.0,9388.646288209608,218.2,NULL,1111.0,NULL,358.3240324032403,262.4032723772859
5,27/03/2019,ycsb-redis,workloads/workloada,2180,1680,5,244.0,8934.426229508197,48.2,NULL,1022.0,NULL,342.3473581213307,272.40587219343695
6,27/03/2019,ycsb-redis,workloads/workloada,2210,1710,7,187.0,11818.181818181818,40.285714285714285,NULL,1117.0,NULL,320.7896150402865,288.647758462946
7,27/03/2019,ycsb-redis,workloads/workloada,2240,1740,7,194.0,11546.39175257732,34.42857142857143,NULL,1165.0,NULL,463.1261802575107,309.8595348837209
8,27/03/2019,ycsb-redis,workloads/workloada,2270,1770,7,212.0,10707.547169811322,63.142857142857146,NULL,1127.0,NULL,506.61135758651284,378.9510061242345
9,27/03/2019,ycsb-redis,workloads/workloada,2300,1800,9,220.0,10454.545454545454,68.33333333333333,NULL,1197.0,NULL,662.7944862155389,516.3408884859474
