STime,Disrubtion,Bench,No Operations,No Records,No Threads
0,25,ycsb-redis,30,85,1
1,14,ycsb-redis,60,55,1
2,39,ycsb-redis,80,95,1
3,34,ycsb-redis,100,65,1
4,50,ycsb-redis,90,35,1
5,11,ycsb-redis,30,95,1
6,37,ycsb-redis,100,95,1
8,72,ycsb-redis,100,45,1
9,65,ycsb-redis,20,85,1
10,51,ycsb-redis,30,55,1
12,49,ycsb-redis,10,35,1
13,16,ycsb-redis,30,75,1
14,84,ycsb-redis,50,75,1
16,75,ycsb-redis,20,65,1
17,15,ycsb-redis,90,75,1
18,91,ycsb-redis,40,85,1
19,30,ycsb-redis,60,85,1
20,36,ycsb-redis,20,45,1
21,19,ycsb-redis,80,45,1
23,54,ycsb-redis,80,55,1
24,57,ycsb-redis,80,85,1
25,85,ycsb-redis,20,95,1
26,47,ycsb-redis,30,45,1
27,88,ycsb-redis,50,35,1
28,27,ycsb-redis,80,15,1
29,93,ycsb-redis,40,25,1
30,55,ycsb-redis,100,85,1
31,17,ycsb-redis,30,15,1
32,97,ycsb-redis,50,85,1
33,90,ycsb-redis,10,15,1
34,71,ycsb-redis,40,55,1
35,99,ycsb-redis,100,55,1
36,45,ycsb-redis,80,75,1
37,23,ycsb-redis,20,55,1
39,44,ycsb-redis,10,75,1
40,31,ycsb-redis,70,55,1
41,61,ycsb-redis,30,65,1
42,56,ycsb-redis,90,85,1
43,63,ycsb-redis,70,15,1
44,43,ycsb-redis,10,55,1
45,68,ycsb-redis,90,45,1
46,67,ycsb-redis,90,25,1
47,89,ycsb-redis,70,85,1
48,22,ycsb-redis,40,45,1
49,76,ycsb-redis,70,75,1
51,95,ycsb-redis,80,25,1
52,40,ycsb-redis,50,15,1
54,81,ycsb-redis,60,25,1
55,10,ycsb-redis,30,25,1
57,33,ycsb-redis,40,95,1
58,35,ycsb-redis,90,15,1
59,29,ycsb-redis,10,85,1
60,94,ycsb-redis,70,45,1
62,24,ycsb-redis,60,45,1
63,66,ycsb-redis,70,35,1
64,52,ycsb-redis,40,75,1
65,83,ycsb-redis,60,95,1
66,42,ycsb-redis,60,15,1
67,80,ycsb-redis,100,75,1
68,21,ycsb-redis,90,95,1
69,53,ycsb-redis,50,95,1
70,78,ycsb-redis,20,15,1
71,46,ycsb-redis,80,35,1
72,87,ycsb-redis,70,25,1
73,64,ycsb-redis,70,95,1
74,58,ycsb-redis,60,35,1
75,77,ycsb-redis,10,45,1
76,79,ycsb-redis,100,35,1
77,70,ycsb-redis,50,45,1
78,12,ycsb-redis,10,25,1
79,48,ycsb-redis,90,65,1
80,92,ycsb-redis,90,55,1
81,20,ycsb-redis,30,35,1
82,69,ycsb-redis,20,25,1
83,74,ycsb-redis,40,35,1
84,62,ycsb-redis,50,65,1
85,96,ycsb-redis,40,15,1
86,98,ycsb-redis,60,75,1
87,38,ycsb-redis,20,75,1
88,41,ycsb-redis,80,65,1
90,13,ycsb-redis,100,25,1
91,86,ycsb-redis,70,65,1
92,18,ycsb-redis,40,65,1
93,59,ycsb-redis,20,35,1
94,60,ycsb-redis,60,65,1
95,73,ycsb-redis,50,25,1
96,32,ycsb-redis,100,15,1
97,28,ycsb-redis,10,65,1
98,26,ycsb-redis,10,95,1
99,82,ycsb-redis,50,55,1
