STime,Disrubtion,Bench,No Operations,No Records,No Threads
1,10,ycsb-redis,500,1800,1
2,10,ycsb-redis,500,1200,7
8,10,ycsb-redis,1500,1200,7
10,10,ycsb-redis,1000,1200,1
13,10,ycsb-redis,500,700,9
15,10,ycsb-redis,1500,700,9
20,10,ycsb-redis,500,700,3
21,10,ycsb-redis,1000,700,7
22,10,ycsb-redis,1000,1200,9
23,10,ycsb-redis,1000,1800,5
26,10,ycsb-redis,1000,1800,7
28,10,ycsb-redis,500,700,7
30,10,ycsb-redis,1000,700,9
34,10,ycsb-redis,1000,1200,7
36,10,ycsb-redis,1500,1200,5
37,10,ycsb-redis,1500,1200,3
39,10,ycsb-redis,1500,1200,9
46,10,ycsb-redis,500,700,1
51,10,ycsb-redis,1000,700,1
53,10,ycsb-redis,500,1200,5
55,10,ycsb-redis,1500,700,5
56,10,ycsb-redis,1500,1800,9
58,10,ycsb-redis,1500,1200,1
59,10,ycsb-redis,1500,1800,7
60,10,ycsb-redis,1000,1800,1
61,10,ycsb-redis,500,1800,5
62,10,ycsb-redis,1000,700,5
64,10,ycsb-redis,500,1800,3
70,10,ycsb-redis,1500,1800,1
71,10,ycsb-redis,500,700,5
73,10,ycsb-redis,1000,1200,5
75,10,ycsb-redis,500,1800,7
76,10,ycsb-redis,1500,700,1
80,10,ycsb-redis,500,1200,3
81,10,ycsb-redis,1000,1200,3
82,10,ycsb-redis,500,1200,9
84,10,ycsb-redis,1500,700,7
86,10,ycsb-redis,500,1800,9
87,10,ycsb-redis,1500,1800,5
88,10,ycsb-redis,500,1200,1
90,10,ycsb-redis,1500,1800,3
91,10,ycsb-redis,1000,1800,3
92,10,ycsb-redis,1500,700,3
93,10,ycsb-redis,1000,700,3
99,10,ycsb-redis,1000,1800,9
