"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","BREST-ubuntu",,,,"User:","abdallah"
"Cmdline:","dstat -t -cdmnl --output /home/abdallah/git/gitlab.uni.lu/aibrahim/presence/presence/cli/Tmp/campaigndstat.csv 1 181",,,,"Date:","30 Oct 2019 16:50:25 CET"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",,"load avg",,
"time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","recv","send","1m","5m","15m"
30-10 16:50:25,17.898,4.308,72.722,5.054,0.0,0.017,48238.741,99324.180,6226489344.0,35803136.0,1350725632.0,659361792.0,0.0,0.0,0.330,0.460,0.560
30-10 16:50:26,2.736,1.741,92.786,2.736,0.0,0.0,81920.0,0.0,6246748160.0,35942400.0,1351110656.0,638578688.0,0.0,0.0,0.330,0.460,0.560
30-10 16:50:27,12.219,2.494,67.581,17.706,0.0,0.0,24625152.0,0.0,6283640832.0,38330368.0,1372524544.0,577884160.0,134.0,0.0,0.460,0.490,0.570
30-10 16:50:28,42.356,1.504,53.634,2.506,0.0,0.0,1781760.0,139264.0,6334140416.0,38510592.0,1374666752.0,525062144.0,70.0,70.0,0.460,0.490,0.570
30-10 16:50:29,35.176,1.508,51.005,12.312,0.0,0.0,4399104.0,0.0,6347235328.0,41254912.0,1375985664.0,507904000.0,0.0,0.0,0.460,0.490,0.570
30-10 16:50:30,27.273,2.525,55.808,14.394,0.0,0.0,5554176.0,0.0,6379917312.0,44441600.0,1378418688.0,469602304.0,70.0,70.0,0.460,0.490,0.570
30-10 16:50:31,31.078,1.253,57.895,9.524,0.0,0.251,7655424.0,98304.0,6376210432.0,44703744.0,1385848832.0,465616896.0,122.0,0.0,0.460,0.490,0.570
30-10 16:50:32,26.700,3.526,58.186,11.587,0.0,0.0,4038656.0,18771968.0,6422716416.0,38989824.0,1360003072.0,450670592.0,809.0,0.0,0.670,0.530,0.580
30-10 16:50:33,39.702,3.722,47.643,8.685,0.0,0.248,6905856.0,7278592.0,6447415296.0,37322752.0,1332940800.0,454701056.0,507.0,0.0,0.670,0.530,0.580
30-10 16:50:34,56.709,0.506,39.494,3.291,0.0,0.0,1572864.0,3809280.0,6451343360.0,37580800.0,1334255616.0,449200128.0,1308.0,264.0,0.670,0.530,0.580
30-10 16:50:35,26.551,2.978,64.020,6.203,0.0,0.248,2781184.0,12931072.0,6577938432.0,38051840.0,1310715904.0,345673728.0,450.0,0.0,0.670,0.530,0.580
30-10 16:50:36,32.997,2.015,55.668,9.320,0.0,0.0,5906432.0,4689920.0,6603321344.0,40050688.0,1315688448.0,313319424.0,192.0,0.0,0.670,0.530,0.580
30-10 16:50:37,34.684,5.063,40.253,19.747,0.0,0.253,10268672.0,204800.0,6356226048.0,40202240.0,1320194048.0,555757568.0,937.0,0.0,0.690,0.540,0.580
30-10 16:50:38,50.124,2.481,27.543,19.603,0.0,0.248,9236480.0,0.0,6405402624.0,40202240.0,1320525824.0,506249216.0,3572.0,70.0,0.690,0.540,0.580
30-10 16:50:39,64.557,2.532,16.203,16.709,0.0,0.0,1171456.0,0.0,6452916224.0,40202240.0,1320775680.0,458485760.0,2632.0,0.0,0.690,0.540,0.580
30-10 16:50:40,55.860,3.491,26.933,13.716,0.0,0.0,1015808.0,3706880.0,6538006528.0,40202240.0,1312718848.0,381452288.0,2522.0,70.0,0.690,0.540,0.580
30-10 16:50:41,53.299,1.777,28.426,16.244,0.0,0.254,1134592.0,8658944.0,6572539904.0,39927808.0,1295597568.0,364314624.0,846.0,0.0,0.690,0.540,0.580
30-10 16:50:42,52.417,1.272,25.954,20.356,0.0,0.0,1011712.0,421888.0,6583808000.0,35160064.0,1282314240.0,371097600.0,668.0,0.0,0.960,0.590,0.600
30-10 16:50:43,66.414,4.545,18.434,10.606,0.0,0.0,1253376.0,897024.0,6746615808.0,33210368.0,1264451584.0,228102144.0,1943.0,179.0,0.960,0.590,0.600
30-10 16:50:44,49.873,6.076,26.582,17.468,0.0,0.0,1658880.0,3858432.0,6395281408.0,33251328.0,1282805760.0,561041408.0,660.0,194.0,0.960,0.590,0.600
30-10 16:50:45,42.677,2.778,31.313,23.232,0.0,0.0,1085440.0,0.0,6460358656.0,33275904.0,1282883584.0,495861760.0,1370.0,812.0,0.960,0.590,0.600
30-10 16:50:46,71.247,2.799,17.303,8.651,0.0,0.0,1126400.0,0.0,6508568576.0,33275904.0,1282199552.0,448335872.0,1466.0,0.0,0.960,0.590,0.600
30-10 16:50:47,69.154,2.985,10.945,16.915,0.0,0.0,999424.0,339968.0,6536429568.0,33320960.0,1285517312.0,417112064.0,732.0,64.0,1.200,0.650,0.620
30-10 16:50:48,57.500,4.500,23.0,15.0,0.0,0.0,1028096.0,16289792.0,6603395072.0,32989184.0,1261711360.0,374284288.0,508.0,70.0,1.200,0.650,0.620
30-10 16:50:49,57.568,3.970,25.558,12.655,0.0,0.248,540672.0,40411136.0,6643179520.0,27312128.0,1214914560.0,386973696.0,114.0,0.0,1.200,0.650,0.620
30-10 16:50:50,51.378,2.757,27.820,18.045,0.0,0.0,1110016.0,8011776.0,6711455744.0,24039424.0,1205116928.0,331767808.0,70.0,70.0,1.200,0.650,0.620
30-10 16:50:51,65.920,5.721,11.443,16.667,0.0,0.249,6316032.0,13660160.0,6755762176.0,23891968.0,1194217472.0,298508288.0,0.0,0.0,1.200,0.650,0.620
30-10 16:50:52,28.0,5.500,28.0,38.500,0.0,0.0,1466368.0,10784768.0,6371037184.0,23515136.0,1164136448.0,713691136.0,492.0,358.0,1.430,0.710,0.640
30-10 16:50:53,55.941,7.673,22.030,13.861,0.0,0.495,1286144.0,221184.0,6425923584.0,23515136.0,1164328960.0,658612224.0,64.0,0.0,1.430,0.710,0.640
30-10 16:50:54,60.705,4.282,17.884,17.128,0.0,0.0,1187840.0,12288.0,6449696768.0,23515136.0,1164423168.0,634744832.0,1909.0,1644.0,1.430,0.710,0.640
30-10 16:50:55,74.687,5.013,9.524,10.777,0.0,0.0,1052672.0,0.0,6487601152.0,23515136.0,1164742656.0,596520960.0,0.0,0.0,1.430,0.710,0.640
30-10 16:50:56,61.500,5.500,18.500,14.500,0.0,0.0,1196032.0,24576.0,6533775360.0,23515136.0,1163763712.0,551325696.0,0.0,0.0,1.430,0.710,0.640
30-10 16:50:57,67.588,4.774,13.065,14.573,0.0,0.0,1208320.0,176128.0,6589460480.0,23531520.0,1163792384.0,495595520.0,134.0,0.0,1.630,0.760,0.660
30-10 16:50:58,60.914,4.822,17.766,16.497,0.0,0.0,1040384.0,1339392.0,6607982592.0,23535616.0,1163780096.0,477081600.0,707.0,1314.0,1.630,0.760,0.660
30-10 16:50:59,48.866,4.282,25.945,20.403,0.0,0.504,1335296.0,208896.0,6684835840.0,23535616.0,1163952128.0,400056320.0,122.0,0.0,1.630,0.760,0.660
30-10 16:51:00,73.485,6.061,10.606,9.848,0.0,0.0,1236992.0,1077248.0,6773018624.0,23535616.0,1163300864.0,312524800.0,70.0,70.0,1.630,0.760,0.660
30-10 16:51:01,57.935,8.060,18.388,15.617,0.0,0.0,999424.0,4001792.0,6387437568.0,23547904.0,1162276864.0,699117568.0,0.0,0.0,1.630,0.760,0.660
