time,epochTime,requests,peaks
1998-04-30 22:26:03,893967963,13,2599.279
1998-04-30 22:31:19,893968279,9,2788.82
1998-04-30 23:35:15,893972115,13,2971.991
1998-05-01 00:09:55,893974195,14,2907.04
1998-05-01 00:16:30,893974590,7,2844.095
1998-05-01 01:08:56,893977736,3,3440.189
1998-05-01 01:46:57,893980017,15,2866.425
1998-05-01 02:04:23,893981063,9,2916.925
1998-05-01 02:25:29,893982329,6,2959.901
1998-05-01 02:26:21,893982381,5,2896.844
1998-05-01 02:55:26,893984126,5,2916.75
1998-05-01 03:28:27,893986107,17,3350.339
1998-05-01 03:53:13,893987593,6,3448.969
1998-05-01 03:53:30,893987610,18,2491.24
1998-05-01 04:08:13,893988493,5,3446.478
1998-05-01 04:11:46,893988706,12,2906.594
1998-05-01 04:17:56,893989076,11,3282.584
1998-05-01 04:48:07,893990887,5,2695.21
1998-05-01 04:58:17,893991497,12,2842.684
1998-05-01 05:01:56,893991716,6,2895.188
1998-05-01 06:19:05,893996345,15,2418.509
1998-05-01 06:33:44,893997224,6,2893.194
1998-05-01 06:40:25,893997625,9,2907.431
1998-05-01 06:46:17,893997977,10,2981.776
1998-05-01 08:12:54,894003174,11,2953.737
1998-05-01 08:56:37,894005797,22,3316.391
1998-05-01 09:01:12,894006072,15,2919.86
1998-05-01 09:06:50,894006410,9,2695.067
1998-05-01 09:12:57,894006777,15,3386.352
1998-05-01 09:27:41,894007661,9,3474.142
1998-05-01 10:09:55,894010195,18,3021.955
1998-05-01 10:16:08,894010568,17,2773.448
1998-05-01 10:38:37,894011917,9,3360.366
1998-05-01 11:25:59,894014759,21,2990.063
1998-05-01 11:38:41,894015521,19,2721.191
1998-05-01 11:46:53,894016013,18,2944.715
1998-05-01 12:33:04,894018784,24,3491.218
1998-05-01 12:46:25,894019585,18,3425.425
1998-05-01 13:14:16,894021256,28,3470.457
1998-05-01 14:02:23,894024143,25,2615.522
1998-05-01 14:03:54,894024234,8,3565.74
1998-05-01 14:06:54,894024414,16,2713.478
1998-05-01 14:27:06,894025626,28,2772.795
1998-05-01 14:32:47,894025967,16,2875.496
1998-05-01 14:51:44,894027104,20,3052.89
1998-05-01 14:58:53,894027533,28,3423.802
1998-05-01 15:06:27,894027987,28,3368.552
1998-05-01 15:37:54,894029874,17,3328.359
1998-05-01 15:53:59,894030839,17,3340.74
1998-05-01 16:01:46,894031306,23,3393.461
1998-05-01 16:07:01,894031621,26,2814.924
1998-05-01 17:33:35,894036815,28,3336.557
1998-05-01 17:50:33,894037833,6,3447.24
1998-05-01 18:19:25,894039565,30,3517.626
1998-05-01 18:36:30,894040590,32,3512.666
1998-05-01 18:37:55,894040675,25,2603.594
1998-05-01 18:53:06,894041586,16,3512.251
1998-05-01 19:02:01,894042121,17,2719.031
1998-05-01 19:06:42,894042402,20,3499.495
1998-05-01 19:35:18,894044118,14,3394.085
1998-05-01 19:47:54,894044874,15,2726.104
1998-05-01 19:50:13,894045013,15,2961.704
1998-05-01 19:59:39,894045579,43,2302.127
1998-05-01 20:30:13,894047413,10,2617.138
1998-05-01 20:47:30,894048450,13,3011.473
1998-05-01 21:00:34,894049234,10,2719.095
1998-05-01 21:16:33,894050193,6,2896.327
