time,epochTime,requests,peaks
1998-04-30 22:03:45,893966625,18,1427.336
1998-04-30 22:06:30,893966790,13,1282.705
1998-04-30 22:07:05,893966825,11,1338.67
1998-04-30 22:08:48,893966928,16,1705.206
1998-04-30 22:09:20,893966960,20,1379.888
1998-04-30 22:11:28,893967088,21,1287.67
1998-04-30 22:14:27,893967267,8,1346.428
1998-04-30 22:14:39,893967279,17,1320.329
1998-04-30 22:15:55,893967355,14,1298.861
1998-04-30 22:16:50,893967410,26,1377.167
1998-04-30 22:16:54,893967414,21,1564.16
1998-04-30 22:17:47,893967467,32,1394.545
1998-04-30 22:17:48,893967468,19,1390.96
1998-04-30 22:17:53,893967473,29,1421.163
1998-04-30 22:18:16,893967496,17,1549.11
1998-04-30 22:18:22,893967502,15,1453.404
1998-04-30 22:18:31,893967511,28,1390.545
1998-04-30 22:18:50,893967530,26,1537.028
1998-04-30 22:19:01,893967541,12,1495.628
1998-04-30 22:19:07,893967547,6,1334.887
1998-04-30 22:19:17,893967557,20,1287.799
1998-04-30 22:19:25,893967565,15,1326.671
1998-04-30 22:19:27,893967567,22,1514.497
1998-04-30 22:19:35,893967575,12,1295.625
1998-04-30 22:19:49,893967589,12,1437.277
1998-04-30 22:19:56,893967596,24,1598.449
1998-04-30 22:21:03,893967663,22,1507.326
1998-04-30 22:21:21,893967681,17,1384.295
1998-04-30 22:21:43,893967703,20,1329.249
1998-04-30 22:22:00,893967720,17,1436.907
1998-04-30 22:22:36,893967756,17,1345.251
1998-04-30 22:24:14,893967854,20,1555.378
1998-04-30 22:24:19,893967859,7,1483.222
1998-04-30 22:25:48,893967948,22,1321.011
1998-04-30 22:26:11,893967971,19,1271.353
1998-04-30 22:27:22,893968042,27,1513.408
1998-04-30 22:29:27,893968167,17,1321.296
1998-04-30 22:29:41,893968181,14,1307.731
1998-04-30 22:30:14,893968214,14,1323.977
1998-04-30 22:30:45,893968245,16,1463.693
1998-04-30 22:31:15,893968275,17,1334.345
1998-04-30 22:31:21,893968281,8,1441.182
1998-04-30 22:31:27,893968287,12,1397.054
1998-04-30 22:32:10,893968330,9,1344.167
1998-04-30 22:33:25,893968405,20,1579.824
1998-04-30 22:33:57,893968437,14,1436.924
1998-04-30 22:34:58,893968498,14,1328.666
1998-04-30 22:36:11,893968571,19,1457.735
1998-04-30 22:37:08,893968628,21,1628.593
1998-04-30 22:37:16,893968636,18,1479.752
1998-04-30 22:37:37,893968657,30,1441.266
1998-04-30 22:37:54,893968674,18,1332.561
1998-04-30 22:38:29,893968709,6,1278.377
1998-04-30 22:38:40,893968720,13,1462.417
1998-04-30 22:40:35,893968835,11,1251.488
1998-04-30 22:41:39,893968899,7,1430.153
1998-04-30 22:42:35,893968955,17,1353.019
1998-04-30 22:43:22,893969002,7,1280.663
1998-04-30 22:43:33,893969013,20,1452.564
1998-04-30 22:48:04,893969284,21,1354.336
1998-04-30 22:48:05,893969285,15,1282.073
1998-04-30 22:48:08,893969288,13,1333.108
1998-04-30 22:51:40,893969500,11,1430.715
1998-04-30 22:51:54,893969514,22,1479.149
1998-04-30 22:52:25,893969545,9,1422.541
1998-04-30 22:53:05,893969585,24,1372.81
1998-04-30 22:54:05,893969645,6,1290.843
