time,epochTime,throughput(kbyts/sec),numofrequests(hits/sec),peaks
30/Apr/1998:22:00:02,893966402,60.349,1,
30/Apr/1998:22:00:03,893966403,9.73,4,
30/Apr/1998:22:00:04,893966404,19.792,8,
30/Apr/1998:22:00:05,893966405,45.818,25,
30/Apr/1998:22:00:06,893966406,199.167,31,
30/Apr/1998:22:00:07,893966407,62.345,27,
30/Apr/1998:22:00:08,893966408,51.871,17,
30/Apr/1998:22:00:09,893966409,17.953,14,
30/Apr/1998:22:00:10,893966410,145.242,24,
30/Apr/1998:22:00:11,893966411,113.344,15,
30/Apr/1998:22:00:12,893966412,20.29,17,
30/Apr/1998:22:00:13,893966413,29.5,19,
30/Apr/1998:22:00:14,893966414,112.816,22,
30/Apr/1998:22:00:15,893966415,122.576,20,
30/Apr/1998:22:00:16,893966416,64.988,13,
30/Apr/1998:22:00:17,893966417,14.273,12,
30/Apr/1998:22:00:18,893966418,22.158,12,
30/Apr/1998:22:00:19,893966419,9.212,7,
30/Apr/1998:22:00:20,893966420,7.016,5,
30/Apr/1998:22:00:21,893966421,30.414,9,
30/Apr/1998:22:00:22,893966422,75.989,9,
30/Apr/1998:22:00:23,893966423,53.959,16,
30/Apr/1998:22:00:24,893966424,37.405,11,
30/Apr/1998:22:00:25,893966425,72.161,14,
30/Apr/1998:22:00:26,893966426,7.186,7,
30/Apr/1998:22:00:27,893966427,31.251,12,
30/Apr/1998:22:00:28,893966428,0.643,2,
30/Apr/1998:22:00:29,893966429,22.576,7,
30/Apr/1998:22:00:30,893966430,10.915,9,
30/Apr/1998:22:00:31,893966431,19.375,7,
30/Apr/1998:22:00:32,893966432,30.357,11,
30/Apr/1998:22:00:33,893966433,12.024,8,
30/Apr/1998:22:00:34,893966434,4.173,10,
30/Apr/1998:22:00:35,893966435,14.626,10,
30/Apr/1998:22:00:36,893966436,76.896,10,
30/Apr/1998:22:00:37,893966437,56.305,11,
30/Apr/1998:22:00:38,893966438,0.724,5,
30/Apr/1998:22:00:39,893966439,5.502,6,
30/Apr/1998:22:00:40,893966440,2.429,4,
30/Apr/1998:22:00:41,893966441,22.3,9,
30/Apr/1998:22:00:42,893966442,38.722,12,
30/Apr/1998:22:00:43,893966443,16.194,8,
30/Apr/1998:22:00:44,893966444,87.6,16,
30/Apr/1998:22:00:45,893966445,130.211,11,
30/Apr/1998:22:00:46,893966446,50.971,10,
30/Apr/1998:22:00:47,893966447,10.954,11,
30/Apr/1998:22:00:48,893966448,31.277,16,
30/Apr/1998:22:00:49,893966449,156.916,19,
30/Apr/1998:22:00:50,893966450,102.942,14,
30/Apr/1998:22:00:51,893966451,80.554,23,
30/Apr/1998:22:00:52,893966452,80.616,21,
30/Apr/1998:22:00:53,893966453,27.503,22,
