[2, 0, 'ycsb', 1, 5, 6]
[3, 0, 'ycsb', 2, 5, 5]
[11, 0, 'ycsb', 3, 5, 7]
[14, 0, 'ycsb', 1, 5, 5]
[18, 0, 'ycsb', 2, 4, 7]
[19, 0, 'ycsb', 1, 4, 7]
[21, 0, 'ycsb', 1, 5, 7]
[23, 0, 'ycsb', 3, 4, 6]
[30, 0, 'ycsb', 2, 5, 7]
[33, 0, 'ycsb', 1, 10, 7]
[34, 0, 'ycsb', 2, 10, 5]
[40, 0, 'ycsb', 3, 4, 5]
[41, 0, 'ycsb', 2, 4, 5]
[43, 0, 'ycsb', 1, 4, 5]
[50, 0, 'ycsb', 3, 5, 5]
[52, 0, 'ycsb', 3, 5, 6]
[53, 0, 'ycsb', 1, 4, 6]
[58, 0, 'ycsb', 3, 4, 7]
[65, 0, 'ycsb', 3, 10, 5]
[67, 0, 'ycsb', 3, 10, 6]
[70, 0, 'ycsb', 2, 5, 6]
[71, 0, 'ycsb', 1, 10, 5]
[80, 0, 'ycsb', 2, 10, 7]
[87, 0, 'ycsb', 2, 4, 6]
[89, 0, 'ycsb', 1, 10, 6]
[96, 0, 'ycsb', 3, 10, 7]
[98, 0, 'ycsb', 2, 10, 6]
